isbn,bookname,author,publisher,image,price,category
102,"수노로 시작하는 AI 작곡 - 10분이면 완성하는 배경음악, 대중음악, 동요 제작 가이드","강성우, 한나래 (지은이)",제이펍,https://image.aladin.co.kr/product/38033/8/cover200/k802034982_1.jpg,18000,인공지능
103,"인공지능은 왜 정치적일 수밖에 없는가 - AI의 정치학과 자유, 평등, 정의, 민주주의, 권력, 동물과 환경","마크 코켈버그 (지은이), 배현석 (옮긴이)",생각이음,https://image.aladin.co.kr/product/32090/95/cover200/k392834196_1.jpg,16920,사회문제 일반
104,된다! 피그마 디자인 10분 레시피 - SNS 콘텐츠 + UX/UI + 웹 디자인 + AI 활용,"하이서, 김대일, 김시원, 최유빈 (지은이)",이지스퍼블리싱,https://image.aladin.co.kr/product/38537/90/cover200/k452135334_1.jpg,25200,그래픽 일반
105,포토샵 & 일러스트레이터 & 인디자인 CC 2026 - 한 권으로 끝내는 디자인 교과서,"김경미, 최리진 (지은이)",생능북스,https://image.aladin.co.kr/product/38327/77/cover200/k582034345_1.jpg,22500,포토샵
106,스케치업&엔스케이프 트레이닝 북 - 모델링과 렌더링을 함께 익히면서 실무 체력을 튼튼하게 기른다!,강석창 (지은이),한빛미디어,https://image.aladin.co.kr/product/37539/94/cover200/k272032121_1.jpg,28800,그래픽 일반
107,네이버 블로그 역제안 가이드 - 협찬 기회를 직접 만드는 마케터C의 역제안 시스템,마케터C(김명경) (지은이),한빛미디어,https://image.aladin.co.kr/product/38437/78/cover200/k162135892_1.jpg,19800,SNS
108,"요즘 직장인을 위한 실무 보고서 작성 비법 - 기획서, 소개서, 이메일, 품의서, 계약서, 공문서 작성까지 AI는 모르는, 우리 회사에서 인정받는 보고서 글쓰기 특강",김태영 (지은이),시프트,https://image.aladin.co.kr/product/38710/39/cover200/k572136535_1.jpg,18000,MS 오피스
109,"QA를 넘어 개발자도 알아야 할 AI 에이전트 품질 가이드 - 정답 없는 AI 서비스의 신뢰 기준, LLM Judge 평가 전략","정상미, 김성수 (지은이)",프리렉,https://image.aladin.co.kr/product/38606/18/cover200/8965404347_1.jpg,25200,인공지능
110,가상 면접 사례로 배우는 생성형 AI 서비스 설계,"알리 아미니안, 하오 성 (지은이), 김지호, 조윤민 (옮긴이)",인사이트,https://image.aladin.co.kr/product/38758/55/cover200/8966265219_1.jpg,30600,인공지능
111,맛있는 디자인 피그마 with AI - 디자인 시스템을 완성하는 UI/UX 실전 레시피,이영주 (지은이),한빛미디어,https://image.aladin.co.kr/product/38656/48/cover200/k832136516_1.jpg,25200,그래픽 일반
112,"창작 본능 - AI 시대, 우리가 낙서를 멈추지 않는 이유",정연덕 (지은이),어웨이크(AWAKE),https://image.aladin.co.kr/product/38732/56/cover200/k052136943_1.jpg,17100,미학/예술이론
113,"요즘 교사를 위한 에듀테크 수업 활용 가이드 with 2022 개정 교육과정 - 챗GPT·블루킷·젭퀴즈·노션·캔바·구글 시트까지, 요즘 교실에 꼭 필요한 에듀테크 활용법|교사용 웹사이트 지원","박진환, 서원진, 박권 (지은이)",한빛미디어,https://image.aladin.co.kr/product/38873/62/cover200/k722137101_1.jpg,21600,인공지능
114,AI 시대 서·논술형 평가 설계 바이블 - 현직 수석교사와 교사가 들려주는 새로운 시대의 평가 이야기,"조현준, 이근숙, 권좌실, 이슬기, 엄주연, 오덕수 (지은이)",에듀니티교육연구소,https://image.aladin.co.kr/product/38873/52/cover200/k162137101_1.jpg,19800,교육 일반
115,박태웅의 AI 강의 2025 - 인공지능의 출현부터 일상으로의 침투까지 우리와 미래를 함께할 새로운 지능의 모든 것,박태웅 (지은이),한빛비즈,https://image.aladin.co.kr/product/34689/12/cover200/k522933817_1.jpg,16920,인공지능/빅데이터
116,"비전공자도 이해할 수 있는 AI 지식 (10만부 기념 개정판) - 챗GPT부터 유튜브 추천, 파파고 번역과 내비게이션까지 일상을 움직이는 인공지능 이해하기","박상길 (지은이), 정진호 (그림)",비즈니스북스,https://image.aladin.co.kr/product/34937/43/cover200/k952934366_1.jpg,17820,기초과학/교양과학
117,AI 전쟁 2.0 - AI 세계 전쟁의 실체와 대한민국의 전략 카드,"하정우, 한상기 (지은이)",한빛비즈,https://image.aladin.co.kr/product/36652/94/cover200/k982030986_2.jpg,19800,인공지능/빅데이터
118,공간 드로잉 : 투시편,김동호 (지은이),아이생각(디지털북스),https://image.aladin.co.kr/product/19937/69/cover200/8960882682_1.jpg,18000,그래픽 일반
119,누구나 아는 나만 모르는 엑셀 - 이보다 더 쉬운 엑셀 책은 없습니다,이성원(누나IT) (지은이),한빛미디어,https://image.aladin.co.kr/product/35311/47/cover200/k622035273_1.jpg,15300,엑셀
120,"혼자 공부하는 C 언어 - 1:1 과외하듯 배우는 프로그래밍 자습서, 개정판",서현우 (지은이),한빛미디어,https://image.aladin.co.kr/product/31688/89/cover200/k482833588_1.jpg,23400,C
121,"이것이 취업을 위한 코딩 테스트다 with 파이썬 - 취업과 이직을 결정하는 알고리즘 인터뷰 완벽 가이드, C/C++, 자바 코드 제공",나동빈 (지은이),한빛미디어,https://image.aladin.co.kr/product/24788/21/cover200/k342631735_1.jpg,30600,자료구조/알고리즘
122,"요즘 당근 AI 개발 - AI가 만든 파도 위에서 과감히 서핑하는 법 / AI 에이전트, 프롬프트 엔지니어링, VoC 자동 분석, 운영자동화, 바이브 코딩 AI 검색과 추천까지 당근의 AI 활용 이야기",당근 팀 (지은이),골든래빗(주),https://image.aladin.co.kr/product/37271/3/cover200/k562031225_1.jpg,19800,인공지능
123,AI 에이전트 트렌드 & 활용백과,"김덕진, 김아람 (지은이)",스마트북스,https://image.aladin.co.kr/product/36724/90/cover200/k492030893_2.jpg,22500,경영 일반
124,"AI 다음 물결 - 시뮬레이션을 넘어 현실로, 피지컬 AI 기반 자율주행·로봇의 미래","류윈하오 (지은이), 홍민경 (옮긴이), 박종성 (감수)",알토북스,https://image.aladin.co.kr/product/38106/20/cover200/k132034289_1.jpg,20520,기초과학/교양과학
125,챗GPT : 마침내 찾아온 특이점 - 2023 전 세계를 뒤흔든 빅이슈의 탄생,반병현 (지은이),생능북스,https://image.aladin.co.kr/product/31016/62/cover200/k882831410_3.jpg,11700,트렌드/미래전망 일반
126,운영체제 - 제10판,"Abraham Silberschatz, Peter Baer Galvin, Greg Gagne (지은이), 박민규 (옮긴이)",퍼스트북,https://image.aladin.co.kr/product/23536/6/cover200/k372638921_1.jpg,39000,운영체제/소프트웨어 공학
127,명품 JAVA Programming - 개정5판,"황기태, 김효수 (지은이)",생능,https://image.aladin.co.kr/product/34293/21/cover200/k362932270_1.jpg,34000,HTML/JavaScript
128,"하루 30분! 돈이 되는 네이버 블로그 with 챗GPT - 생성형 AI ChatGPT로 해결하는 키워드, 브랜딩, 포스팅 전략",조병옥(호모앤) (지은이),한빛미디어,https://image.aladin.co.kr/product/35006/50/cover200/k212934882_1.jpg,16200,SNS
129,"AI 이후의 세계 - 챗GPT는 시작일 뿐이다, 세계질서 대전환에 대비하라","헨리 A. 키신저, 에릭 슈밋, 대니얼 허튼로커 (지은이), 김고명 (옮긴이)",윌북,https://image.aladin.co.kr/product/31531/13/cover200/k972832441_1.jpg,17820,인공지능/빅데이터
130,AI 2041 - 10개의 결정적 장면으로 읽는 인공지능과 인류의 미래,"리카이푸, 천치우판 (지은이), 이현 (옮긴이)",한빛비즈,https://image.aladin.co.kr/product/30864/83/cover200/k412831575_2.jpg,26820,인공지능/빅데이터
131,"AGI의 시대 - 인간을 초월한 인공지능, AGI를 논하다",한상기 (지은이),한빛미디어,https://image.aladin.co.kr/product/35266/35/cover200/k542934359_1.jpg,19800,인공지능
132,파이썬으로 쉽게 배우는 자료구조 - 개정판,"최영규, 천인국 (지은이)",생능,https://image.aladin.co.kr/product/31877/33/cover200/k562833430_1.jpg,29000,자료구조/알고리즘
133,"핸즈온 머신러닝 - 전2권 - 사이킷런, 케라스, 텐서플로 2로 완벽 이해하는 머신러닝, 딥러닝 이론 & 실무, 3판","오렐리앙 제롱 (지은이), 박해선 (옮긴이)",한빛미디어,https://image.aladin.co.kr/product/32427/88/cover200/k332935094_2.jpg,54000,전산수학(SPSS/MATLAB)
134,학교 업무가 쉬워지는 구글 스프레드시트 실전 가이드북 - 칼퇴하는 옆반 선생님의 비밀!,"김동호, 나혜진, 민동수, 박준택, 오보람, 윤수진 (지은이)",씨마스21,https://image.aladin.co.kr/product/37627/55/cover200/k242032044_1.jpg,19800,인터넷/윈도우즈 배우기
135,소프트웨어 테스트 전문가(CSTS) 가이드 - 개정판,한국정보통신기술협회 (지은이),홍릉(홍릉과학출판사),https://image.aladin.co.kr/product/26951/84/cover200/k642730814_1.jpg,33000,소프트웨어 공학
136,"C 언어 for Beginner - 제대로 이해하며 개발하는 C 프로그래밍, 개정 4판",우재남 (지은이),한빛아카데미(교재),https://image.aladin.co.kr/product/28460/27/cover200/k852835820_1.jpg,26000,C
137,진짜 쓰는 일러스트레이터 - 디자인 소스 제작을 위한 필수 기능부터 로고를 활용한 브랜드 디자인 실무까지!,우디(서영열) (지은이),제이펍,https://image.aladin.co.kr/product/30957/33/cover200/k542831007_2.jpg,21600,일러스트레이터
138,명품 C++ Programming - 개정3판,황기태 (지은이),생능,https://image.aladin.co.kr/product/36836/84/cover200/k242030106_1.jpg,34000,프로그래밍 언어
139,인공지능을 위한 수학 - 꼭 필요한 것만 골라 배우는 인공지능 맞춤 수학,"이시카와 아키히코 (지은이), 신상재, 이진희 (옮긴이)",프리렉,https://image.aladin.co.kr/product/17400/4/cover200/896540228x_1.jpg,22500,인공지능
140,무로이 야스오의 캐릭터 얼굴 & 바스트업 작화 기술,"무로이 야스오 (지은이), 김재훈 (옮긴이)",영진.com(영진닷컴),https://image.aladin.co.kr/product/30929/29/cover200/8931467591_1.jpg,18000,포토샵
141,쉽게 배우는 데이터 통신과 컴퓨터 네트워크 - 3판,박기현 (지은이),한빛아카데미(교재),https://image.aladin.co.kr/product/29725/35/cover200/k922838393_1.jpg,30000,네트워크/데이터 통신
142,가상 면접 사례로 배우는 대규모 시스템 설계 기초 2 - 2024 우수학술도서,"알렉스 쉬, 산 람 (지은이), 이병준 (옮긴이)",인사이트,https://image.aladin.co.kr/product/33040/41/cover200/8966264255_1.jpg,32400,컴퓨터공학/전산학 개론
143,쉽게 배우는 운영체제 - 3판,조성호 (지은이),한빛아카데미(교재),https://image.aladin.co.kr/product/36817/56/cover200/k452030103_1.jpg,33000,소프트웨어 공학
144,"타이포그래피 천일야화 - 한글 타이포그래피의 개념과 실제, 재개정판","원유홍, 서승연, 송명민 (지은이)",안그라픽스,https://image.aladin.co.kr/product/20517/46/cover200/8970595112_1.jpg,26100,디자인이론/비평/역사
145,HTML5 웹 프로그래밍 입문 - 4판,윤인성 (지은이),한빛아카데미(교재),https://image.aladin.co.kr/product/32220/59/cover200/k942834629_1.jpg,29000,프로그래밍 언어
146,훅,"니르 이얄 (지은이), 조자현 (옮긴이)",유엑스리뷰,https://image.aladin.co.kr/product/29505/9/cover200/k702837146_1.jpg,20700,경영전략/혁신
147,"Do it! 오토캐드 2026 - 초보자도 6일이면 설계 도면 그린다! 건축, 인테리어, 기계 실무에 최적화된 입문서",박한울 (지은이),이지스퍼블리싱,https://image.aladin.co.kr/product/36324/29/cover200/k592038648_1.jpg,26550,CAD
148,맛있는 디자인 포토샵 CC 2025 - 핵심 기능을 담은 기본편+실무 예제가 풍부한 활용편,"윤이사라(포완카), 김신애 (지은이)",한빛미디어,https://image.aladin.co.kr/product/36080/50/cover200/k792037349_1.jpg,22500,포토샵
149,"LLM을 위한 프롬프트 엔지니어링 - LLM 구조 이해부터 프롬프트 전략, 대화형 에이전트 설계, 성과 평가까지","존 베리먼, 앨버트 지글러 (지은이), 김정인 (옮긴이)",제이펍,https://image.aladin.co.kr/product/38205/94/cover200/k212034814_1.jpg,25200,인공지능
150,소프트웨어 공학의 모든 것 - 개정판,최은만 (지은이),생능,https://image.aladin.co.kr/product/35399/5/cover200/k992035014_1.jpg,35000,운영체제/소프트웨어 공학
151,"된다! 네이버 스마트플레이스 - 네이버 지도에 우리 가게가 가장 먼저 뜬다! 손님이 알아서 찾아오는 매장 홍보법! 리뷰관리, 황금 키워드 설정, 체험단 운영, AI 활용법",고수진(위드지니) (지은이),이지스퍼블리싱,https://image.aladin.co.kr/product/38210/39/cover200/k382034328_1.jpg,19800,e-비즈니스
152,"요즘 바이브 코딩 코덱스 완벽 가이드 - 인공지능 코딩, AI 에이전트, 프롬프트 엔지니어링, 컨텍스트 엔지니어링, AGENTS.md, PRD, 코덱스 클라우드, 수파베이스, Spec Kit 워크플로, 토큰 최적화, 배포, v0, 스킬, 고급 사용법, 오픈라우터, 챗GPT, 멀티 프로필, LLM, MCP, 깃",윤재원(단테) (지은이),골든래빗(주),https://image.aladin.co.kr/product/38457/55/cover200/k552135714_1.jpg,25200,인공지능
153,"요즘 바이브 코딩 깃허브 코파일럿 31가지 프로그램 만들기 - 인공지능 코딩, AI 포트폴리오, 바탕화면 정리 앱, PDF 편집기, 이메일 자동화, 주식 크롤링, QR 코드 생성기, 노션 스타일 게시판, 대시보드 만들기, 블로그 만들기, 유튜브 클론 사이트, 챗GPT 요약 앱, vercel, 배포, v0, VSCode",박현규 (지은이),골든래빗(주),https://image.aladin.co.kr/product/37877/95/cover200/k782033909_1.jpg,21600,인공지능
154,만들면서 배우는 생성형 AI 첫걸음 - 개정판,"천인국, 천명준 (지은이)",생능,https://image.aladin.co.kr/product/37882/53/cover200/k842033000_1.jpg,29000,인공지능
155,메타버스 시대의 사물 인터넷(IoT) - 개정판,"양순옥, 김성석 (지은이)",생능,https://image.aladin.co.kr/product/30961/54/cover200/k662831107_1.jpg,28000,컴퓨터공학/전산학 개론
156,AI에이전트 시대 젠스파크 AI 300배 활용법,"최재용, 권혁용, 나병인, 노지영, 신진주, 유미경, 장선경, 전상권, 정현정 (지은이), 김진선 (감수)",미디어북,https://image.aladin.co.kr/product/37046/61/cover200/k532030134_1.jpg,19000,인공지능
157,Wireshark로 배우는 컴퓨터 네트워크 - 개정3판,"김봉한, 이재광 (지은이)",생능,https://image.aladin.co.kr/product/35642/19/cover200/k622036600_1.jpg,39000,네트워크/데이터 통신
158,"처음이지만 프로처럼 쓰는 캔바 (Canva) - 기초부터 AI 활용, 브랜딩까지 디자인 수익화 완벽 가이드",정다은(시재) (지은이),아이생각(디지털북스),https://image.aladin.co.kr/product/38551/92/cover200/k312135757_1.jpg,27000,그래픽 일반
159,코어 프런트엔드 UI - 리액트와 순수 자바스크립트로 키우는 실무 사고력,정재남 (지은이),위키북스,https://image.aladin.co.kr/product/38731/74/cover200/k902136941_1.jpg,34200,HTML/JavaScript
160,AI로 완성하는 고수익 유튜브 운영 비법,현승효(디스이즈머니) (지은이),시대인,https://image.aladin.co.kr/product/38457/95/cover200/k502135716_1.jpg,16200,모바일/SNS
161,"솔리드웍스 50시간 완성 : 모델링편 - 동영상 강의 무료제공, NCS기반 3D형상모델링작업",신동진 (지은이),피앤피북,https://image.aladin.co.kr/product/29107/5/cover200/k292837167_1.jpg,18000,그래픽 일반
162,프리미어 프로 + 애프터 이펙트 CC 2026 무작정 따라하기,"전은재, 민지영, 문수민, 앤미디어 (지은이)",길벗,https://image.aladin.co.kr/product/38536/82/cover200/k162135332_1.jpg,24300,그래픽 일반
163,"한눈에 보는 AI 반도체 산업 - GPU부터 HBM, 파운드리, 패키징, 데이터센터까지 하나의 흐름으로 읽는 AI 반도체 생태계",MrTrigger (지은이),한빛미디어,https://image.aladin.co.kr/product/38886/38/cover200/k812137402_1.jpg,23400,컴퓨터공학/전산학 개론
164,"LLM 미세 튜닝, 핵심만 빠르게! - 파이토치와 허깅 페이스 기반의 최신 미세 튜닝 기법","다니엘 보이트 고도이 (지은이), 박해선 (옮긴이)",인사이트,https://image.aladin.co.kr/product/38805/49/cover200/8966265243_1.jpg,28800,인공지능
165,"AI 에이전트 마스터 클래스 - 기획, 구현, 운영, 배포까지 현업에서 바로 적용하는 에이전트 개발 가이드",김구현 (지은이),한빛미디어,https://image.aladin.co.kr/product/38492/11/cover200/k442135210_1.jpg,23400,인공지능
166,"Vertex AI와 Gemini로 시작하는 생성형 AI 실전 개발 - Google Cloud 기반 Gemini API부터 RAG, Agents, 그리고 MCP, A2A 실습까지 한권으로!",김민형 (지은이),디지털북스,https://image.aladin.co.kr/product/38885/23/cover200/8960885061_1.jpg,28800,인공지능
167,"30가지 예제로 따라 하며 배우는 ComfyUI 클라우드 - ComfyUI 하나로 나노 바나나, Veo, Kling AI, WAN, Topaz Video까지 활용! 영상 제작 워크플로를 구축하고, 고퀄리티 AI 영상 제작하기","여승호, 신무경 (지은이)",제이펍,https://image.aladin.co.kr/product/38853/82/cover200/k072137900_1.jpg,19800,인공지능
168,"바로바로 바이브 코딩 with 커서 AI - 인공지능, 자동화, 크롤링, 웹페이지, 바로 배우고 바로 써먹는 AI 코딩 입문서",박현규 (지은이),골든래빗(주),https://image.aladin.co.kr/product/38872/80/cover200/k802137006_1.jpg,27000,인공지능
169,"어쨌든, 에이전틱 코딩 - 바이브 코딩을 끝내고 에이전틱 엔지니어링으로 가는 레시피","코다프레스 (지은이), 양희은 (옮긴이)",인사이트,https://image.aladin.co.kr/product/38878/21/cover200/8966265286_1.jpg,22500,인공지능
170,회사는 엑셀을 가르쳐주지 않아요,쏘피(박성희) (지은이),메가스터디북스,https://image.aladin.co.kr/product/30154/39/cover200/k212839588_1.jpg,16200,엑셀
171,C언어로 쉽게 풀어쓴 자료구조 - 개정 3판,"천인국, 공용해, 하상호 (지은이)",생능,https://image.aladin.co.kr/product/18386/82/cover200/8970509712_1.jpg,29000,데이터베이스 개론
172,"AI 리터러시 : 인공지능 필수 지식부터 완벽 활용까지 - 여전히 챗GPT만 붙들고 있는 당신에게, 2025 세종도서 교양도서",김용성 (지은이),프리렉,https://image.aladin.co.kr/product/35291/15/cover200/8965404029_2.jpg,22500,인공지능
173,혼자 공부하는 네트워크 - 1:1 과외하듯 배우는 네트워크 자습서,강민철 (지은이),한빛미디어,https://image.aladin.co.kr/product/33748/38/cover200/k722930969_1.jpg,25200,네트워크/데이터 통신
174,친절한 드로잉,박리노 (지은이),아이생각(디지털북스),https://image.aladin.co.kr/product/10870/72/cover200/8960882070_1.jpg,18000,포토샵
175,미래를 바꾼 아홉 가지 알고리즘 - 컴퓨터 세상을 만든 기발한 아이디어들,"존 맥코믹 (지은이), 민병교 (옮긴이)",에이콘출판,https://image.aladin.co.kr/product/2683/75/cover200/8960774383_1.jpg,16920,자료구조/알고리즘
176,AI 에이전트 생태계 - 프레임워크와 프로토콜로 여는 새로운 패러다임,조쉬(이주환) (지은이),로드북,https://image.aladin.co.kr/product/36816/35/cover200/k692030102_1.jpg,24300,인공지능
177,"객체지향의 사실과 오해 - 역할, 책임, 협력 관점에서 본 객체지향",조영호 (지은이),위키북스,https://image.aladin.co.kr/product/6055/2/cover200/8998139766_1.jpg,18000,객체지향 프로그래밍/UML
178,"이게 되네? 나노바나나 AI 비포&애프터 미친 활용법 71제 [나노바나나 프로 최신 반영 / 프롬프트 복붙 사이트 제공 / 카카오톡 Q&A 제공] - 포토샵 없이 제미나이로 5초 컷! 씨드림, 미드저니, 소라, 위스크까지 나만의 AI 사진관 한 권으로 끝내기",쌩초 (지은이),골든래빗(주),https://image.aladin.co.kr/product/37835/71/cover200/k802033696_2.jpg,16920,그래픽 일반
179,다시 시작하는 일러스트 해체신서,"다테나오토, 무토 키요시 (지은이), 김재훈 (옮긴이)",한즈미디어(한스미디어),https://image.aladin.co.kr/product/18005/79/cover200/k012534633_1.jpg,14850,만화작법/일러스트
180,"된다! 하루 만에 준비하는 AI 학교 수업 활용법 with 챗GPT, 캔바, 미리캔버스, 구글 기반 AI - 과목별 30가지 아이디어","정인걸, 김경수 (지은이)",이지스퍼블리싱,https://image.aladin.co.kr/product/35856/23/cover200/k622037578_1.jpg,17820,인공지능
181,Do it! C언어 입문 - 실무 20년 현업 프로그래머가 초보자를 위해 엮었다!,김성엽 (지은이),이지스퍼블리싱,https://image.aladin.co.kr/product/10056/9/cover200/k782536777_1.jpg,22500,C
182,Easy! 딥러닝 - 혁펜하임의,혁펜하임 (지은이),북엔드,https://image.aladin.co.kr/product/35299/52/cover200/k302035970_2.jpg,31500,인공지능
183,"IT 세상을 만나는 컴퓨터 개론 - 인공지능, 빅데이터, 확장현실까지, 2판",조성호 (지은이),한빛아카데미(교재),https://image.aladin.co.kr/product/33416/68/cover200/k362938439_1.jpg,29000,컴퓨터공학/전산학 개론
184,"누구나 쉽게 즐기는 C언어 콘서트 - Visual Studio 2019, 개정3판",천인국 (지은이),생능,https://image.aladin.co.kr/product/27666/85/cover200/8970504931_1.jpg,27000,C
185,코딩 자율학습 HTML + CSS + 자바스크립트 - 기초부터 반응형 웹까지 초보자를 위한 웹 개발 입문서,김기수 (지은이),길벗,https://image.aladin.co.kr/product/29234/10/cover200/k292837292_1.jpg,24300,HTML/JavaScript
186,타이포그래피 교과서 - Design with Type,"제임스 크레이그, 윌리엄 베빙튼, 아이린 코롤 스칼라 (지은이), 문지숙, 최문경 (옮긴이), 안상수 (감수)",안그라픽스,https://image.aladin.co.kr/product/761/19/cover200/8970594582_2.jpg,22500,디자인이론/비평/역사
187,"컴퓨터 과학이 여는 세계 - 세상을 바꾼 컴퓨터, 소프트웨어의 원천 아이디어 그리고 미래",이광근 (지은이),인사이트,https://image.aladin.co.kr/product/5971/52/cover200/8966261434_2.jpg,16200,디지털 문화
188,"어쨌든, 바이브 코딩 - 코딩을 몰라도 50개 앱과 웹사이트를 AI와 LLM을 활용해서 개발한다","코다프레스 (지은이), 양희은 (옮긴이)",인사이트,https://image.aladin.co.kr/product/37996/33/cover200/8966265065_1.jpg,19800,인공지능
189,"Do it! HTML + CSS + 자바스크립트 웹 표준의 정석 - 한 권으로 끝내는 웹 기본 교과서, 전면 개정판",고경희 (지은이),이지스퍼블리싱,https://image.aladin.co.kr/product/34334/36/cover200/k622932793_1.jpg,28800,HTML/JavaScript
190,"스토리텔링 우동이즘의 잘 팔리는 웹툰, 웹소설 이야기 만들기 - 아마추어 작가와 지망생을 위한 프로 데뷔 노하우!",우동이즘 (지은이),한빛미디어,https://image.aladin.co.kr/product/28258/86/cover200/k882835380_1.jpg,14400,e-비즈니스/온라인 창업
191,오브젝트 - 코드로 이해하는 객체지향 설계,조영호 (지은이),위키북스,https://image.aladin.co.kr/product/19368/10/cover200/k972635015_1.jpg,34200,프로그래밍 기초/개발 방법론
192,일러스트 향상 강좌 - 90일 만에 달라지는,"다테나오토 (지은이), 김재훈 (옮긴이)",한즈미디어(한스미디어),https://image.aladin.co.kr/product/28758/21/cover200/k552836886_1.jpg,16200,만화작법/일러스트
193,"바로 배워서 바로 써먹는 바이브 코딩 - 캔바, 구글 앱스크립트, 파이어베이스, 러버블까지, 웹 앱 개발 도구를 활용한 AI 융합 교육 가이드","박찬, 김병석, 전수연, 김지용, 구현희, 전채원, 홍찬우, 이상선 (지은이)",다빈치books,https://image.aladin.co.kr/product/37042/61/cover200/k532030032_2.jpg,19800,교육 일반
194,프로그래머를 위한 선형대수,"히라오카 카즈유키, 호리 겐 (지은이), 이창신 (옮긴이)",길벗,https://image.aladin.co.kr/product/10423/3/cover200/k032536399_1.jpg,28800,자료구조/알고리즘
195,"아는 만큼 보이는 생성형 AI - 챗GPT, 제미나이, 클로드, 클로바X, 달리, 미드저니, 스테이블 디퓨전, 수노, 유디오까지 한 권으로 보는 생성형 AI 기술과 트렌드",김주영 (지은이),길벗,https://image.aladin.co.kr/product/36848/73/cover200/k212030303_1.jpg,19800,인공지능
196,처음 만나는 디지털 논리회로 - 2판,"임석구, 홍경호 (지은이)",한빛아카데미(교재),https://image.aladin.co.kr/product/35177/34/cover200/k392934223_1.jpg,27000,컴퓨터공학/전산학 개론
197,제텔카스텐,"숀케 아렌스 (지은이), 김수진 (옮긴이)",인간희극,https://image.aladin.co.kr/product/32221/5/cover200/8993784787_2.jpg,16200,SNS
198,"제로클릭 - 클릭의 종말, AI 시대의 생존 전략",손승완 (지은이),길벗,https://image.aladin.co.kr/product/38270/68/cover200/k152034938_1.jpg,16920,인공지능/빅데이터
199,리더는 AI에게 질문하지 않는다 - 새로운 가치를 만드는 리더를 위한 프롬프트 설계와 큐레이션 기술,김희연 (지은이),북피움,https://image.aladin.co.kr/product/38158/67/cover200/k302034508_1.jpg,20700,e-비즈니스
200,"된다! 미리캔버스 & 캔바 디자인 수업 - 소상공인, 마케터, 직장인을 위한",방구석 다람쥐(배가을) (지은이),이지스퍼블리싱,https://image.aladin.co.kr/product/37083/69/cover200/k322030051_1.jpg,21600,그래픽 일반
